"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 16 12:55:17 IST 2022","Sun Jan 16 12:55:20 IST 2022","2938","","homepageTests: EWS Authentification Verification test cases","","homepageTests: EWS Authentification Verification test cases","should click on Enrollment Center, then add new family","should click on Enrollment Center, then add new family",""
"passed","Sun Jan 16 13:10:52 IST 2022","Sun Jan 16 13:10:55 IST 2022","3452","","lucaFamiliesModuleTests: Perform Batch Action Add Fee on Several Families And Students","","lucaFamiliesModuleTests: Perform Batch Action Add Fee on Several Families And Students","should select family view from the View Mode drop-down third time","should select family view from the View Mode drop-down third time",""
"passed","Sun Jan 16 12:59:46 IST 2022","Sun Jan 16 12:59:47 IST 2022","809","","externalTests: Verify that External Registration creates family correctly for Basis Independent Schools","","externalTests: Verify that External Registration creates family correctly for Basis Independent Schools","should should input new value into the set Student1 Last Name field again","should should input new value into the set Student1 Last Name field again",""
"passed","Sun Jan 16 12:55:53 IST 2022","Sun Jan 16 12:55:54 IST 2022","992","","homepageTests: Enrolling New Family with Credit Card","","homepageTests: Enrolling New Family with Credit Card","should input the home phone number","should input the home phone number",""
"passed","Sun Jan 16 14:22:06 IST 2022","Sun Jan 16 14:22:09 IST 2022","2898","","lucaQuickBooksTests: QuickBooks SetupGL Account Cash and Other Test Case","","lucaQuickBooksTests: QuickBooks SetupGL Account Cash and Other Test Case","should click on Account Recognition Type - Revenue","should click on Account Recognition Type - Revenue",""
"passed","Sun Jan 16 13:03:14 IST 2022","Sun Jan 16 13:03:16 IST 2022","1852","","lucaFamiliesModuleTests: Manage Families, Apply discount batch action","","lucaFamiliesModuleTests: Manage Families, Apply discount batch action","should apply discount","should apply discount",""
"passed","Sun Jan 16 14:30:31 IST 2022","Sun Jan 16 14:30:32 IST 2022","1322","","Luca Settings: Add a student to a pre-existing family and verify UI data API_84, API_85, API_86","","Luca Settings: Add a student to a pre-existing family and verify UI data API_84, API_85, API_86","should click the go button in order to search for the newly created family","should click the go button in order to search for the newly created family",""
"failed","Sun Jan 16 13:49:24 IST 2022","Sun Jan 16 13:49:45 IST 2022","21088","","lucaDashboardsTests: Luca Payments, Apply Phone Payment with new Checking Payment Account","","lucaDashboardsTests: Luca Payments, Apply Phone Payment with new Checking Payment Account","should click on phone button","should click on phone button",""
"passed","Sun Jan 16 13:10:02 IST 2022","Sun Jan 16 13:10:07 IST 2022","5364","","lucaFamiliesModuleTests: Perform Batch Action Add Fee on Specific Months on Several Families And Students","","lucaFamiliesModuleTests: Perform Batch Action Add Fee on Specific Months on Several Families And Students","should click the drop-down modal fee first time","should click the drop-down modal fee first time",""
"passed","Sun Jan 16 14:29:19 IST 2022","Sun Jan 16 14:29:20 IST 2022","1246","","Luca Settings: OW Api - Add new family login api API_073","","Luca Settings: OW Api - Add new family login api API_073","should wait for the family and students billing details page to load","should wait for the family and students billing details page to load",""
"passed","Sun Jan 16 14:24:53 IST 2022","Sun Jan 16 14:24:57 IST 2022","3631","","Luca Settings: Verify newly added fees or discount is displaying in API Result API_005","","Luca Settings: Verify newly added fees or discount is displaying in API Result API_005","should verify that the Manage Fees & Discounts page has been reached","should verify that the Manage Fees & Discounts page has been reached",""
"passed","Sun Jan 16 13:09:20 IST 2022","Sun Jan 16 13:09:22 IST 2022","2053","","lucaFamiliesModuleTests: Perform Batch Action Add Fee on Specific Months on Several Families And Students","","lucaFamiliesModuleTests: Perform Batch Action Add Fee on Specific Months on Several Families And Students","should click save changes in order to create the student again","should click save changes in order to create the student again",""
"passed","Sun Jan 16 12:56:20 IST 2022","Sun Jan 16 12:56:23 IST 2022","2769","","homepageTests: Verifies Enrollment code for Remove Fees","","homepageTests: Verifies Enrollment code for Remove Fees","should click on next button in order to reach the make payment page","should click on next button in order to reach the make payment page",""
"passed","Sun Jan 16 12:53:51 IST 2022","Sun Jan 16 12:53:54 IST 2022","2057","","homepageTests: Enrollment, Create New Account, Message Validation","","homepageTests: Enrollment, Create New Account, Message Validation","should verify results are shown","should verify results are shown",""
"passed","Sun Jan 16 14:21:35 IST 2022","Sun Jan 16 14:21:36 IST 2022","1496","","lucaQuickBooksTests: QuickBooks SetupGL Account Fees Test Case","","lucaQuickBooksTests: QuickBooks SetupGL Account Fees Test Case","should verify that the GL id was not changed after canceling","should verify that the GL id was not changed after canceling",""
"passed","Sun Jan 16 14:36:52 IST 2022","Sun Jan 16 14:36:54 IST 2022","1754","","Call Center Payment Encryption Tests, Bank Account family","","Call Center Payment Encryption Tests, Bank Account family","should verify that the Bank Account Number Field is Displaying Encrypted Info","should verify that the Bank Account Number Field is Displaying Encrypted Info",""
"passed","Sun Jan 16 13:05:42 IST 2022","Sun Jan 16 13:05:43 IST 2022","1425","","lucaFamiliesModuleTests: Manage Families details, Change payment settings","","lucaFamiliesModuleTests: Manage Families details, Change payment settings","should input a valid month","should input a valid month",""
"passed","Sun Jan 16 13:09:13 IST 2022","Sun Jan 16 13:09:17 IST 2022","3372","","lucaFamiliesModuleTests: Perform Batch Action Add Fee on Several Families And Students","","lucaFamiliesModuleTests: Perform Batch Action Add Fee on Several Families And Students","should select family view from the View Mode drop-down first time","should select family view from the View Mode drop-down first time",""
"passed","Sun Jan 16 13:25:02 IST 2022","Sun Jan 16 13:25:05 IST 2022","2427","","lucaBillingTests: Verify Apply and Remove Fee in Edit Billing Contacts","","lucaBillingTests: Verify Apply and Remove Fee in Edit Billing Contacts","should input correct username","should input correct username",""
"passed","Sun Jan 16 14:20:07 IST 2022","Sun Jan 16 14:20:08 IST 2022","1875","","lucaAddANoteTests: Verifying Controls UI + Create Note","","lucaAddANoteTests: Verifying Controls UI + Create Note","should click on the Newly Appeared Late Fee Review button","should click on the Newly Appeared Late Fee Review button",""
"passed","Sun Jan 16 13:05:37 IST 2022","Sun Jan 16 13:05:38 IST 2022","1413","","lucaFamiliesModuleTests: Manage Families details, Change payment settings","","lucaFamiliesModuleTests: Manage Families details, Change payment settings","should input an Account Name","should input an Account Name",""
"passed","Sun Jan 16 12:59:29 IST 2022","Sun Jan 16 12:59:32 IST 2022","2253","","externalTests: Verify that External Registration creates family correctly for Basis Independent Schools","","externalTests: Verify that External Registration creates family correctly for Basis Independent Schools","should log out from luca again","should log out from luca again",""
"passed","Sun Jan 16 14:28:00 IST 2022","Sun Jan 16 14:28:02 IST 2022","1745","","Luca Settings: Create a family Via APi then check response and UI for valid data API_43","","Luca Settings: Create a family Via APi then check response and UI for valid data API_43","should switch to Settings tab on Edit Family page","should switch to Settings tab on Edit Family page",""
"passed","Sun Jan 16 13:45:06 IST 2022","Sun Jan 16 13:45:09 IST 2022","3334","","lucaBuyNowGiveNowTests: Buy Now Give Now Transactions Groups","","lucaBuyNowGiveNowTests: Buy Now Give Now Transactions Groups","should click on lastest school year from search results","should click on lastest school year from search results",""
"passed","Sun Jan 16 14:38:33 IST 2022","Sun Jan 16 14:38:35 IST 2022","1453","","bbPaymentServices: Luca - Verifying that a family can be enrolled using Credit Card with CC Fee and without, and a Payment can be applied","","bbPaymentServices: Luca - Verifying that a family can be enrolled using Credit Card with CC Fee and without, and a Payment can be applied","should fill the Name As on card field","should fill the Name As on card field",""
"passed","Sun Jan 16 13:10:41 IST 2022","Sun Jan 16 13:10:43 IST 2022","2804","","lucaFamiliesModuleTests: Manage Families filters, Add Update Student","","lucaFamiliesModuleTests: Manage Families filters, Add Update Student","should verify that the filters in Manage Families are working after returning to the page","should verify that the filters in Manage Families are working after returning to the page",""
"failed","Sun Jan 16 13:51:59 IST 2022","Sun Jan 16 13:52:05 IST 2022","5974","","lucaDashboardsTests: Luca Payments, Validate custom allocation scenarios","","lucaDashboardsTests: Luca Payments, Validate custom allocation scenarios","should verify that the appropriate buttons appear after clicking the Add Fee button","should verify that the appropriate buttons appear after clicking the Add Fee button",""
"passed","Sun Jan 16 13:21:29 IST 2022","Sun Jan 16 13:21:33 IST 2022","3602","","lucaEnrollment: verify filters on Parent registration page","","lucaEnrollment: verify filters on Parent registration page","should log out from luca","should log out from luca",""
"failed","Sun Jan 16 14:28:52 IST 2022","Sun Jan 16 14:28:57 IST 2022","5835","","lucaAutomaticDebitSettings: Payment Type Verification","","lucaAutomaticDebitSettings: Payment Type Verification","should click on the Resume Future Emails, again","should click on the Resume Future Emails, again",""
"passed","Sun Jan 16 14:15:31 IST 2022","Sun Jan 16 14:15:34 IST 2022","3427","","lucaFamiliesModuleTests: Apply fee towards family","","lucaFamiliesModuleTests: Apply fee towards family","should get the fee name and store it again","should get the fee name and store it again",""
"passed","Sun Jan 16 14:12:41 IST 2022","Sun Jan 16 14:12:42 IST 2022","1179","","lucaFamiliesModuleTests: Apply fee towards family","","lucaFamiliesModuleTests: Apply fee towards family","should input correct password","should input correct password",""
"passed","Sun Jan 16 13:34:53 IST 2022","Sun Jan 16 13:34:56 IST 2022","2788","","lucaFeesAndDiscountsTests: Hyperlinks and Controls check","","lucaFeesAndDiscountsTests: Hyperlinks and Controls check","should log out from luca","should log out from luca",""
"passed","Sun Jan 16 14:23:14 IST 2022","Sun Jan 16 14:23:15 IST 2022","1179","","Luca Settings: Manage Payment Plans tests - Number of months calculus API_023, API_024","","Luca Settings: Manage Payment Plans tests - Number of months calculus API_023, API_024","should input valid password","should input valid password",""
"passed","Sun Jan 16 13:29:55 IST 2022","Sun Jan 16 13:30:06 IST 2022","10793","","Main Landing Page, Verify the accessibility of Notes page in Dashboard","","Main Landing Page, Verify the accessibility of Notes page in Dashboard","should verify that the elements in the Dashboard are properly displayed","should verify that the elements in the Dashboard are properly displayed",""
"passed","Sun Jan 16 13:01:41 IST 2022","Sun Jan 16 13:01:44 IST 2022","3174","","externalTests: Verify that External Registration creates family correctly for Basis Independent Schools","","externalTests: Verify that External Registration creates family correctly for Basis Independent Schools","should load luca page successfully again","should load luca page successfully again",""
"passed","Sun Jan 16 14:10:03 IST 2022","Sun Jan 16 14:10:10 IST 2022","6196","","lucaFamiliesModuleTests: View All Families, Search Field Test Cases","","lucaFamiliesModuleTests: View All Families, Search Field Test Cases","should click on login button","should click on login button",""
"passed","Sun Jan 16 13:29:03 IST 2022","Sun Jan 16 13:29:04 IST 2022","1203","","Main Landing Page, Verify Presence of Elements in Top Menu Bar","","Main Landing Page, Verify Presence of Elements in Top Menu Bar","should click on School Policy","should click on School Policy",""
